id,condition,trial,gamblep,gamblex,value,gambleid,gambletype,samplesize,confidence,samplesizecat
s18,description,8,0.8,4,3.2,4,p-bet,,4,--
s18,description,9,0.2,16,4.9,1,$-bet,,4,--
s18,description,10,0.857,4.7,2.9,6,p-bet,,4,--
s18,description,11,0.167,12,4.5,2,$-bet,,3,--
s18,description,12,0.143,28,3.4,3,$-bet,,3,--
s18,description,13,0.8,4,2.9,4,p-bet,,3,--
s18,description,14,0.2,16,6.4,1,$-bet,,4,--
s18,description,15,0.833,2.4,0.4,5,p-bet,,4,--
s18,description,16,0.143,28,7.6,3,$-bet,,4,--
s18,description,17,0.167,12,3.4,2,$-bet,,4,--
s18,description,18,0.167,12,2.6,2,$-bet,,5,--
s19,experience,1,0.8571429,4.7,1,6,p-bet,7,4,xs
s19,experience,2,0.8571429,4.7,1.6,6,p-bet,14,4,s
s19,experience,3,0.1428571,28,7,3,$-bet,14,4,s
s19,experience,4,0.1428571,28,8,3,$-bet,21,5,m
s19,experience,5,0.8,4,1.9,4,p-bet,5,5,xs
s19,experience,6,0.16666667,12,5,2,$-bet,6,5,xs
s19,experience,9,0.8571429,4.7,3,6,p-bet,7,5,xs
s19,experience,10,0.1428571,28,9,3,$-bet,21,5,m
s19,experience,12,0.8,4,1.2,4,p-bet,15,5,m
s19,experience,13,0.16666667,12,4.9,2,$-bet,12,5,s
s19,experience,14,0.8571429,4.7,3.7,6,p-bet,21,5,m
s19,experience,15,0.16666667,12,5,2,$-bet,12,5,s
s19,experience,16,0.16666667,12,3,2,$-bet,6,5,xs
s19,experience,17,0.2,16,7,1,$-bet,30,5,l
s19,experience,18,0.2,16,4,1,$-bet,30,5,l
s19,experience,19,0.1428571,28,5,3,$-bet,42,4,l
s19,experience,20,0.1428571,28,7,3,$-bet,14,4,s
s19,experience,22,0.8571429,4.7,3,6,p-bet,42,5,l
s19,experience,24,0.2,16,5,1,$-bet,15,5,m
s19,experience,25,0.8333333,2.4,0.5,5,p-bet,12,5,s
s19,experience,26,0.8333333,2.4,0.8,5,p-bet,18,5,m
s19,experience,27,0.1428571,28,3,3,$-bet,21,5,m
s19,experience,29,0.2,16,3.9,1,$-bet,30,5,l
s19,experience,30,0.8333333,2.4,1,5,p-bet,36,5,l
s19,experience,31,0.1428571,28,3,3,$-bet,14,5,s
s19,experience,32,0.8,4,0.8,4,p-bet,10,5,s
s19,experience,33,0.2,16,3,1,$-bet,10,5,s
s19,experience,34,0.16666667,12,4,2,$-bet,36,5,l
s19,experience,37,0.2,16,5,1,$-bet,5,5,xs
s19,experience,38,0.16666667,12,5,2,$-bet,6,5,xs
s19,experience,39,0.16666667,12,3,2,$-bet,12,5,s
s19,experience,40,0.8,4,2,4,p-bet,10,5,s
s19,experience,42,0.8333333,2.4,1.3,5,p-bet,6,5,xs
s19,experience,43,0.2,16,4,1,$-bet,15,5,m
s19,experience,44,0.8571429,4.7,3,6,p-bet,14,5,s
s19,experience,45,0.8333333,2.4,1.8,5,p-bet,12,5,s
s19,experience,46,0.8,4,1.6,4,p-bet,30,5,l
s19,experience,47,0.8333333,2.4,0.5,5,p-bet,36,5,l
s19,experience,48,0.8,4,1.1,4,p-bet,30,5,l
s19,experience,49,0.8,4,1.9,4,p-bet,5,5,xs
s19,experience,50,0.1428571,28,2,3,$-bet,7,5,xs
s19,experience,51,0.2,16,5,1,$-bet,5,5,xs
s19,experience,53,0.2,16,7,1,$-bet,5,4,xs
s19,experience,54,0.8333333,2.4,1.5,5,p-bet,18,5,m
s19,experience,55,0.1428571,28,2,3,$-bet,42,5,l
s19,experience,56,0.8571429,4.7,2.7,6,p-bet,42,5,l
s19,experience,58,0.8,4,2.2,4,p-bet,10,5,s
s19,experience,59,0.2,16,4,1,$-bet,10,5,s
s19,experience,61,0.1428571,28,2,3,$-bet,42,5,l
s19,experience,62,0.8333333,2.4,0.7,5,p-bet,6,5,xs
s19,experience,64,0.16666667,12,1.2,2,$-bet,18,5,m
s19,experience,65,0.8571429,4.7,2.9,6,p-bet,14,5,s
s19,experience,66,0.16666667,12,2,2,$-bet,18,5,m
s19,experience,67,0.2,16,3,1,$-bet,10,5,s
s19,experience,69,0.2,16,0.1,1,$-bet,15,5,m
s19,experience,70,0.16666667,12,2,2,$-bet,18,5,m
s19,experience,72,0.1428571,28,0.5,3,$-bet,7,5,xs
s19,experience,73,0.8333333,2.4,2,5,p-bet,6,5,xs
s19,experience,74,0.8,4,1.8,4,p-bet,15,5,m
s19,experience,75,0.8333333,2.4,1,5,p-bet,18,5,m
s19,experience,76,0.16666667,12,2,2,$-bet,36,5,l
s19,experience,77,0.8,4,2.4,4,p-bet,30,5,l
s19,experience,80,0.16666667,12,1.8,2,$-bet,36,5,l
s19,experience,81,0.8333333,2.4,0.5,5,p-bet,36,5,l
s19,experience,82,0.8333333,2.4,1.2,5,p-bet,12,5,s
s19,experience,83,0.8571429,4.7,2.9,6,p-bet,42,5,l
s19,experience,84,0.1428571,28,3,3,$-bet,7,5,xs
s19,experience,85,0.8571429,4.7,3,6,p-bet,7,5,xs
s19,experience,87,0.8571429,4.7,2.5,6,p-bet,21,5,m
s19,experience,88,0.8,4,0.7,4,p-bet,5,5,xs
s19,experience,89,0.8,4,0.5,4,p-bet,15,5,m
s19,experience,90,0.8571429,4.7,2.9,6,p-bet,21,5,m
s19,description,1,0.833,2.4,1.3,5,p-bet,,4,--
s19,description,2,0.8,4,3.2,4,p-bet,,4,--
s19,description,3,0.857,4.7,2,6,p-bet,,4,--
s19,description,4,0.833,2.4,1,5,p-bet,,4,--
s19,description,5,0.2,16,10,1,$-bet,,4,--
s19,description,6,0.857,4.7,1.5,6,p-bet,,4,--
s19,description,7,0.2,16,7,1,$-bet,,4,--
s19,description,8,0.833,2.4,1,5,p-bet,,4,--
s19,description,9,0.143,28,10,3,$-bet,,3,--
s19,description,10,0.167,12,8,2,$-bet,,4,--
s19,description,11,0.167,12,5,2,$-bet,,4,--
s19,description,12,0.857,4.7,1.8,6,p-bet,,4,--
