id,condition,trial,gambleid,gambletype,gamblep,gamblex,samplesizecat,samplesize,value,confidence
s75,experience,56,1,$-bet,0.2,16,s,10,5,4
s75,experience,57,3,$-bet,0.1428571,28,l,42,4,4
s75,experience,62,4,p-bet,0.8,4,s,10,3.6,4
s75,experience,63,5,p-bet,0.8333333,2.4,xs,6,2.1,4
s75,experience,65,5,p-bet,0.8333333,2.4,m,18,2.2,4
s75,experience,66,1,$-bet,0.2,16,xs,5,4,4
s75,experience,67,3,$-bet,0.1428571,28,m,21,4,4
s75,experience,68,6,p-bet,0.8571429,4.7,l,42,4.6,4
s75,experience,69,1,$-bet,0.2,16,xs,5,8,4
s75,experience,70,3,$-bet,0.1428571,28,xs,7,8,4
s75,experience,71,3,$-bet,0.1428571,28,m,21,6,4
s75,experience,72,4,p-bet,0.8,4,xs,5,3.5,4
s75,experience,73,1,$-bet,0.2,16,l,30,3,4
s75,experience,75,5,p-bet,0.8333333,2.4,xs,6,1.2,4
s75,experience,76,1,$-bet,0.2,16,m,15,4,4
s75,experience,77,1,$-bet,0.2,16,s,10,3,4
s75,experience,79,2,$-bet,0.16666667,12,l,36,2,4
s75,experience,80,3,$-bet,0.1428571,28,s,14,5,4
s75,experience,81,1,$-bet,0.2,16,s,10,4,4
s75,experience,82,5,p-bet,0.8333333,2.4,m,18,2.3,4
s75,experience,83,4,p-bet,0.8,4,s,10,3.6,4
s75,experience,84,4,p-bet,0.8,4,xs,5,3.7,4
s75,experience,85,5,p-bet,0.8333333,2.4,xs,6,2.2,4
s75,experience,87,6,p-bet,0.8571429,4.7,s,14,4,4
s75,experience,88,3,$-bet,0.1428571,28,m,21,3,4
s75,experience,90,6,p-bet,0.8571429,4.7,xs,7,2.5,4
s75,description,1,6,p-bet,0.857,4.7,--,,3.6,4
s75,description,2,2,$-bet,0.167,12,--,,2,4
s75,description,3,2,$-bet,0.167,12,--,,2.8,4
s75,description,4,1,$-bet,0.2,16,--,,2,4
s75,description,5,6,p-bet,0.857,4.7,--,,4,4
s75,description,6,2,$-bet,0.167,12,--,,2,4
s75,description,7,4,p-bet,0.8,4,--,,3,4
s75,description,8,4,p-bet,0.8,4,--,,3,4
